Name,Killing,SexNudity,Insult,Drinking,Injury,Total
Aeron_Greyjoy,0,0,0,0,0,0
Areo_Hotah,0,0,7,0,4,11
Arianne_Martel,0,0,0,0,0,0
Arya_Stark,18,0,28,0,40,86
Balon_Greyjoy,0,0,0,0,0,0
Barristan_Selmy,72,0,0,0,32,104
Ben_Plumm,0,0,0,0,0,0
Beric_Dondarrion,0,0,0,0,0,0
Bowen_Marsh,0,0,0,0,0,0
Brienne_of_Tarth,36,0,14,0,8,58
Bronn,18,0,21,6,12,57
Brynden_Tully,0,0,0,0,0,0
Cersei_Lannister,0,16,84,18,0,118
Daario_Naharis,54,8,49,6,20,137
Daenerys_Targaryen,0,0,112,6,0,118
Davos_Seaworth,0,0,7,0,0,7
Doran_Martell,0,0,21,6,0,27
Ellaria_Sand,9,0,49,0,0,58
Euron_Greyjoy,0,0,0,0,0,0
Gendry,0,0,0,0,0,0
Gerold_Dayne_The_Darkstar,0,0,0,0,0,0
Grand_Maester_Pycelle,0,0,14,0,0,14
Gregor_Clegane,0,0,0,0,0,0
Grey_Worm,108,0,0,0,68,176
Griff,0,0,0,0,0,0
Hizdahr_zo_Loraq,0,0,14,0,0,14
Jaime_Lannister,9,0,0,18,4,31
Janos_Slynt,0,0,56,0,0,56
Jaqen_H'ghar,0,0,0,0,32,32
Jon_Snow,36,0,7,18,12,73
Jorah_Mormont,72,0,7,6,84,169
Kevan_Lannister,0,0,21,0,0,21
Lady_Stoneheart,0,0,0,0,0,0
Lancel_Lannister,0,0,14,0,4,18
Loras_Tyrell,0,8,0,0,0,8
Lord_Varys,0,0,14,6,0,20
Mace_Tyrell,0,0,0,0,0,0
Maester_Aemon,0,0,0,0,0,0
Mance_Rayder,0,0,0,0,0,0
Margaery_Tyrell,0,8,49,0,0,57
Melisandre,9,8,7,0,4,28
Meryn_Trant,0,0,28,6,24,58
Missandei,0,0,0,0,0,0
Myrcella_Baratheon,0,0,0,6,0,6
Nymeria_Sand,0,0,42,0,84,126
Obara_Sand,9,0,14,0,0,23
Olenna_Tyrell,0,0,98,0,0,98
Olly,9,0,0,0,4,13
Petyr_Baelish,0,0,35,0,0,35
Podrick_Payne,0,0,0,6,0,6
Qyburn,0,0,7,0,0,7
Ramsay_Bolton,18,24,63,30,4,139
Rattleshirt,0,0,0,0,0,0
Reznak_mo_Reznak,0,0,0,0,0,0
Robin_Arryn,0,0,0,0,0,0
Roose_Bolton,0,0,0,18,0,18
Samwell_Tarly,0,8,28,6,0,42
Sansa_Stark,0,8,42,12,0,62
Ser_Arys_Oakheart,0,0,0,0,0,0
Stannis_Baratheon,18,0,0,0,4,22
The_High_Sparrow,0,0,56,0,0,56
Theon_Greyjoy,9,0,0,0,0,9
Thoros_of_Myr,0,0,0,0,0,0
Tommen_Baratheon,0,8,0,6,0,14
Tormund_Giantsbane,9,0,0,0,48,57
Trystane_Martell,0,0,0,6,0,6
Tycho_Nestoris,0,0,0,0,0,0
Tyene_Sand,0,8,28,0,12,48
Tyrion_Lannister,9,0,63,48,52,172
Victarion_Greyjoy,0,0,0,0,0,0
Yara_Greyjoy,0,0,0,0,0,0
Young_Griff,0,0,0,0,0,0
